Category,Pinal
Total_doses_administered,479516
Total_people_one_dose,243091
Total_people_complete,215571
total_pouluation,243091
Male-65 years and older,35859
Male-55-64 years,17929
Male-45-54 years,16426
Male-20-44 years,37131
Male-Less than 20 years,11194
Female-65 years and older,41412
Female-55-64 years,20240
Female-45-54 years,16723
Female-20-44 years,34298
Female-Less than 20 years,11133
"Asian or Pacific Islander, non-Hispanic",4935
"Black or African American, non-Hispanic",8835
"American Indian or Alaska Native, non-Hispanic",9090
Unknown,28836
Other Race,30276
Hispanic or Latino,38949
"White, non-Hispanic",122170
