Category,Santa Cruz
Total_doses_administered,98859
Total_people_one_dose,52086
Total_people_complete,43290
total_pouluation,52086
Male-65 years and older,4538
Male-55-64 years,3152
Male-45-54 years,3280
Male-20-44 years,8763
Male-Less than 20 years,5291
Female-65 years and older,5471
Female-55-64 years,3409
Female-45-54 years,3545
Female-20-44 years,8958
Female-Less than 20 years,5602
"Black or African American, non-Hispanic",53
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Unknown,3242
Other Race,3392
"White, non-Hispanic",7301
Hispanic or Latino,37859
