Category,Graham
Total_doses_administered,40585
Total_people_one_dose,20344
Total_people_complete,18177
total_pouluation,20344
Male-65 years and older,2359
Male-55-64 years,1555
Male-45-54 years,1413
Male-20-44 years,3489
Male-Less than 20 years,1003
Female-65 years and older,2851
Female-55-64 years,1697
Female-45-54 years,1377
Female-20-44 years,3491
Female-Less than 20 years,1097
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",88
Other Race,1272
Hispanic or Latino,3595
Unknown,3979
"American Indian or Alaska Native, non-Hispanic",5055
"White, non-Hispanic",6275
