,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1463509,321602,7196,22826,43366,12972,5552,4053,4250,591142,24797,18167,229328,62859,10718,50735,32378
Total_people_one_dose,1067090,248795,5262,17340,32196,9878,3877,3118,3814,417799,18976,13252,166808,46644,8884,44536,25911
Total_people_complete,392417,81827,,,,,,,,,,,,,,,
Total_doses_ordered,1395300,335297,,,,,,,,,,,,,,,
65 years and older,315394,89299,,,,,,,,,,,,,,,
55-64 years,77686,13433,,,,,,,,,,,,,,,
45-54 years,72190,11395,,,,,,,,,,,,,,,
20-44 years,151734,23062,,,,,,,,,,,,,,,
Less than 20 years,4788,758,,,,,,,,,,,,,,,
65 years and older,256141,77610,,,,,,,,,,,,,,,
55-64 years,48074,8723,,,,,,,,,,,,,,,
45-54 years,45600,8071,,,,,,,,,,,,,,,
20-44 years,89441,14840,,,,,,,,,,,,,,,
Less than 20 years,2994,505,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2425,458,,,,,,,,,,,,,,,
Black or African American,15895,1172,,,,,,,,,,,,,,,
Asian,24175,3446,,,,,,,,,,,,,,,
American Indian or Alaska Native,32830,6238,,,,,,,,,,,,,,,
Hispanic or Latino,85529,9269,,,,,,,,,,,,,,,
Other Race/Unknown,384189,73542,,,,,,,,,,,,,,,
White,522773,154732,,,,,,,,,,,,,,,
