Category,Coconino
Total_doses_administered,160427
Total_people_one_dose,87987
Total_people_complete,78950
Total_doses_ordered,99988
total_pouluation,147275
Male-65 years and older,7953
Male-55-64 years,6199
Male-45-54 years,5615
Male-20-44 years,17511
Male-Less than 20 years,4187
Female-65 years and older,9045
Female-55-64 years,6880
Female-45-54 years,5723
Female-20-44 years,19897
Female-Less than 20 years,4861
"Black or African American, non-Hispanic",706
"Asian or Pacific Islander, non-Hispanic",1424
Hispanic or Latino,6480
Other Race,10207
Unknown,17085
"American Indian or Alaska Native, non-Hispanic",17880
"White, non-Hispanic",34205
