Category,Santa Cruz
Total_doses_administered,72547
Total_people_one_dose,40447
Total_people_complete,36277
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3650
Male-55-64 years,2670
Male-45-54 years,3122
Male-20-44 years,8003
Male-Less than 20 years,2711
Female-65 years and older,4421
Female-55-64 years,2703
Female-45-54 years,2965
Female-20-44 years,7396
Female-Less than 20 years,2736
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2064
Unknown,2369
"White, non-Hispanic",4902
Hispanic or Latino,30959
