Category,Maricopa
Total_doses_administered,3211083
Total_people_one_dose,1824832
Total_people_complete,1582384
Total_doses_ordered,1670401
total_pouluation,4367835
Male-65 years and older,186324
Male-55-64 years,131411
Male-45-54 years,132254
Male-20-44 years,311179
Male-Less than 20 years,87225
Female-65 years and older,240947
Female-55-64 years,151207
Female-45-54 years,146012
Female-20-44 years,336782
Female-Less than 20 years,89630
"American Indian or Alaska Native, non-Hispanic",38992
"Black or African American, non-Hispanic",71159
"Asian or Pacific Islander, non-Hispanic",83738
Unknown,178876
Other Race,279987
Hispanic or Latino,338426
"White, non-Hispanic",833654
