Category,Yavapai
Total_doses_administered,195908
Total_people_one_dose,111967
Total_people_complete,93997
Total_doses_ordered,173670
total_pouluation,232386
Male-65 years and older,24335
Male-55-64 years,8723
Male-45-54 years,5130
Male-20-44 years,10108
Male-Less than 20 years,2190
Female-65 years and older,30350
Female-55-64 years,11146
Female-45-54 years,5979
Female-20-44 years,10249
Female-Less than 20 years,2444
"Black or African American, non-Hispanic",619
"American Indian or Alaska Native, non-Hispanic",1147
"Asian or Pacific Islander, non-Hispanic",1470
Hispanic or Latino,7188
Other Race,17231
Unknown,27608
"White, non-Hispanic",56704
