Category,Graham
Total_doses_administered,23019
Total_people_one_dose,12893
Total_people_complete,11353
Total_doses_ordered,21530
total_pouluation,38476
Male-65 years and older,1701
Male-55-64 years,1035
Male-45-54 years,933
Male-20-44 years,2193
Male-Less than 20 years,476
Female-65 years and older,2142
Female-55-64 years,1185
Female-45-54 years,846
Female-20-44 years,1820
Female-Less than 20 years,551
"Asian or Pacific Islander, non-Hispanic",65
"Black or African American, non-Hispanic",75
Other Race,986
"American Indian or Alaska Native, non-Hispanic",1107
Hispanic or Latino,2119
Unknown,4071
"White, non-Hispanic",4470
