Category,Apache
Total_doses_administered,34259
Total_people_one_dose,19174
Total_people_complete,12752
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1985
Male-55-64 years,1336
Male-45-54 years,1056
Male-20-44 years,2593
Male-Less than 20 years,2557
Female-65 years and older,2100
Female-55-64 years,1460
Female-45-54 years,1060
Female-20-44 years,2381
Female-Less than 20 years,2636
"Asian or Pacific Islander, non-Hispanic",172
"Black or African American, non-Hispanic",293
Unknown,1044
Other Race,1307
Hispanic or Latino,1920
"White, non-Hispanic",3352
"American Indian or Alaska Native, non-Hispanic",11086
