Category,Arizona
Total_doses_administered,7490657
Total_people_complete,3607650
Total_doses_ordered,5348107
total_pouluation,7189020
Total_people_one_dose,4087627
Male-65 years and older,527464
Male-55-64 years,305079
Male-45-54 years,268839
Male-20-44 years,643219
Male-Less than 20 years,171617
Female-65 years and older,649979
Female-55-64 years,350679
Female-45-54 years,293513
Female-20-44 years,677640
Female-Less than 20 years,180001
"Black or African American, non-Hispanic",112981
"American Indian or Alaska Native, non-Hispanic",121708
"Asian or Pacific Islander, non-Hispanic",152147
Unknown,438302
Other Race,686744
Hispanic or Latino,701187
"White, non-Hispanic",1874558
