Category,Cochise
Total_doses_administered,124778
Total_people_one_dose,69866
Total_people_complete,61536
Total_doses_ordered,93280
total_pouluation,130808
Male-65 years and older,10871
Male-55-64 years,5270
Male-45-54 years,3884
Male-20-44 years,10138
Male-Less than 20 years,2870
Female-65 years and older,12878
Female-55-64 years,6356
Female-45-54 years,4438
Female-20-44 years,10140
Female-Less than 20 years,2929
"American Indian or Alaska Native, non-Hispanic",335
"Black or African American, non-Hispanic",1328
"Asian or Pacific Islander, non-Hispanic",1330
Unknown,9375
Other Race,10608
Hispanic or Latino,17028
"White, non-Hispanic",29862
