Category,Mohave
Total_doses_administered,162512
Total_people_one_dose,92823
Total_people_complete,77288
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22033
Male-55-64 years,8713
Male-45-54 years,4543
Male-20-44 years,7673
Male-Less than 20 years,1447
Female-65 years and older,24577
Female-55-64 years,10122
Female-45-54 years,4842
Female-20-44 years,7141
Female-Less than 20 years,1570
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",965
"Asian or Pacific Islander, non-Hispanic",1339
Hispanic or Latino,6718
Unknown,15797
Other Race,16244
"White, non-Hispanic",51100
