Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7490657,34259,160427,124778,23019,9079,55092,18091,3211083,162512,78988,329482,982247,72547,195908,224574
Total_people_complete,3607650,12752,78950,61536,11353,4430,26591,8886,1582384,77288,37704,166852,488303,36277,93997,107332
Total_doses_ordered,5348107,16900,99988,93280,21530,10850,37760,19100,1670401,134660,44300,200332,625076,49512,173670,150598
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4087627,19174,87987,69866,12893,5247,30041,9977,1824832,92823,44440,188209,550115,40447,111967,126655
Male-65 years and older,527464,1985,7953,10871,1701,570,5975,3171,186324,22033,7055,30355,74063,3650,24335,16160
Male-55-64 years,305079,1336,6199,5270,1035,618,2681,700,131411,8713,3669,14216,37654,2670,8723,9079
Male-45-54 years,268839,1056,5615,3884,933,537,1669,339,132254,4543,2620,13394,32885,3122,5130,8084
Male-20-44 years,643219,2593,17511,10138,2193,1133,3339,599,311179,7673,5505,31943,82032,8003,10108,23802
Male-Less than 20 years,171617,2557,4187,2870,476,103,817,168,87225,1447,3131,6330,22521,2711,2190,5970
Female-65 years and older,649979,2100,9045,12878,2142,538,6334,3069,240947,24577,7752,34815,97442,4421,30350,18264
Female-55-64 years,350679,1460,6880,6356,1185,429,2986,866,151207,10122,3926,15088,46372,2703,11146,9548
Female-45-54 years,293513,1060,5723,4438,846,390,1759,363,146012,4842,2622,11971,38479,2965,5979,8306
Female-20-44 years,677640,2381,19897,10140,1820,836,3466,503,336782,7141,4877,23226,93814,7396,10249,20674
Female-Less than 20 years,180001,2636,4861,2929,551,90,953,177,89630,1570,3248,6277,23892,2736,2444,6359
"Black or African American, non-Hispanic",112981,293,706,1328,75,47,100,33,71159,660,228,5459,10903,35,619,744
"American Indian or Alaska Native, non-Hispanic",121708,11086,17880,335,1107,98,6142,228,38992,965,15681,9012,11704,19,1147,1650
"Asian or Pacific Islander, non-Hispanic",152147,172,1424,1330,65,51,262,78,83738,1339,425,3369,13829,99,1470,766
Unknown,438302,1044,17085,9375,4071,485,5502,2670,178876,15797,2251,37865,84493,2369,27608,33946
Other Race,686744,1307,10207,10608,986,144,4976,1148,279987,16244,8476,20272,70074,2064,17231,11286
Hispanic or Latino,701187,1920,6480,17028,2119,2279,1384,1096,338426,6718,2331,30181,132457,30959,7188,55500
"White, non-Hispanic",1874558,3352,34205,29862,4470,2143,11675,4724,833654,51100,15048,82051,226655,4902,56704,22763
