Category,La Paz
Total_doses_administered,18091
Total_people_one_dose,9977
Total_people_complete,8886
Total_doses_ordered,19100
total_pouluation,22085
Male-65 years and older,3171
Male-55-64 years,700
Male-45-54 years,339
Male-20-44 years,599
Male-Less than 20 years,168
Female-65 years and older,3069
Female-55-64 years,866
Female-45-54 years,363
Female-20-44 years,503
Female-Less than 20 years,177
"Black or African American, non-Hispanic",33
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",228
Hispanic or Latino,1096
Other Race,1148
Unknown,2670
"White, non-Hispanic",4724
