Category,Yavapai
Total_doses_administered,197621
Total_people_one_dose,108406
Total_people_complete,92237
total_pouluation,108406
Male-65 years and older,23847
Male-55-64 years,8667
Male-45-54 years,4733
Male-20-44 years,9365
Male-Less than 20 years,2200
Female-65 years and older,29746
Female-55-64 years,11059
Female-45-54 years,5619
Female-20-44 years,9508
Female-Less than 20 years,2514
"Black or African American, non-Hispanic",480
"American Indian or Alaska Native, non-Hispanic",1213
"Asian or Pacific Islander, non-Hispanic",1229
Hispanic or Latino,7117
Other Race,16990
Unknown,24780
"White, non-Hispanic",56597
