Category,Coconino
Total_doses_administered,164533
Total_people_one_dose,85906
Total_people_complete,77459
total_pouluation,85906
Male-65 years and older,8838
Male-55-64 years,6016
Male-45-54 years,5467
Male-20-44 years,16004
Male-Less than 20 years,4134
Female-65 years and older,10055
Female-55-64 years,6806
Female-45-54 years,5609
Female-20-44 years,18275
Female-Less than 20 years,4447
"Black or African American, non-Hispanic",657
"Asian or Pacific Islander, non-Hispanic",1388
Hispanic or Latino,6169
Other Race,10556
Unknown,15127
"American Indian or Alaska Native, non-Hispanic",18716
"White, non-Hispanic",33293
