Category,Yuma
Total_doses_administered,250319
Total_people_one_dose,135376
Total_people_complete,117554
total_pouluation,135376
Male-65 years and older,14640
Male-55-64 years,9556
Male-45-54 years,8536
Male-20-44 years,25157
Male-Less than 20 years,7834
Female-65 years and older,17164
Female-55-64 years,10239
Female-45-54 years,9444
Female-20-44 years,23987
Female-Less than 20 years,8370
"Black or African American, non-Hispanic",680
"American Indian or Alaska Native, non-Hispanic",1030
"Asian or Pacific Islander, non-Hispanic",1037
Other Race,14938
"White, non-Hispanic",27745
Unknown,29984
Hispanic or Latino,59962
