Category,Mohave
Total_doses_administered,150988
Total_people_one_dose,82802
Total_people_complete,70314
total_pouluation,82802
Male-65 years and older,19095
Male-55-64 years,7709
Male-45-54 years,3971
Male-20-44 years,6781
Male-Less than 20 years,1423
Female-65 years and older,21587
Female-55-64 years,9089
Female-45-54 years,4493
Female-20-44 years,6888
Female-Less than 20 years,1597
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",598
"Asian or Pacific Islander, non-Hispanic",1184
Hispanic or Latino,6324
Unknown,12827
Other Race,14944
"White, non-Hispanic",46410
