Category,Santa Cruz
Total_doses_administered,84111
Total_people_one_dose,45579
Total_people_complete,41253
total_pouluation,45579
Male-65 years and older,4351
Male-55-64 years,3016
Male-45-54 years,3116
Male-20-44 years,8373
Male-Less than 20 years,3208
Female-65 years and older,5246
Female-55-64 years,3264
Female-45-54 years,3311
Female-20-44 years,8330
Female-Less than 20 years,3310
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2823
Other Race,3123
"White, non-Hispanic",6671
Hispanic or Latino,32702
