Category,Graham
Total_doses_administered,36933
Total_people_one_dose,19385
Total_people_complete,17240
total_pouluation,19385
Male-65 years and older,2314
Male-55-64 years,1525
Male-45-54 years,1370
Male-20-44 years,3311
Male-Less than 20 years,812
Female-65 years and older,2787
Female-55-64 years,1660
Female-45-54 years,1342
Female-20-44 years,3332
Female-Less than 20 years,920
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1529
Hispanic or Latino,3372
Unknown,4129
"American Indian or Alaska Native, non-Hispanic",4689
"White, non-Hispanic",5497
