Category,Arizona
Total_doses_administered,7969722
Total_people_complete,352532
total_pouluation,7189020
Total_people_one_dose,4191394
Male-65 years and older,524284
Male-55-64 years,307889
Male-45-54 years,276916
Male-20-44 years,676705
Male-Less than 20 years,186222
Female-65 years and older,644542
Female-55-64 years,352109
Female-45-54 years,300129
Female-20-44 years,708363
Female-Less than 20 years,194741
"Black or African American, non-Hispanic",119167
"Asian or Pacific Islander, non-Hispanic",153067
"American Indian or Alaska Native, non-Hispanic",157032
Unknown,450711
Other Race,680941
Hispanic or Latino,739639
"White, non-Hispanic",1890837
