Category,Cochise
Total_doses_administered,128530
Total_people_one_dose,70373
Total_people_complete,62153
total_pouluation,70373
Male-65 years and older,10336
Male-55-64 years,5008
Male-45-54 years,3852
Male-20-44 years,10420
Male-Less than 20 years,3321
Female-65 years and older,12356
Female-55-64 years,6134
Female-45-54 years,4376
Female-20-44 years,10993
Female-Less than 20 years,3483
"American Indian or Alaska Native, non-Hispanic",304
"Asian or Pacific Islander, non-Hispanic",1326
"Black or African American, non-Hispanic",1345
Unknown,9240
Other Race,11456
Hispanic or Latino,17528
"White, non-Hispanic",29174
