Category,La Paz
Total_doses_administered,14806
Total_people_one_dose,8014
Total_people_complete,7066
total_pouluation,8014
Male-65 years and older,2221
Male-55-64 years,579
Male-45-54 years,295
Male-20-44 years,593
Male-Less than 20 years,237
Female-65 years and older,2277
Female-55-64 years,677
Female-45-54 years,350
Female-20-44 years,531
Female-Less than 20 years,238
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",350
Hispanic or Latino,1153
Other Race,1169
Unknown,1835
"White, non-Hispanic",3390
