Category,Yuma
Total_doses_administered,253070
Total_people_one_dose,136296
Total_people_complete,117654
total_pouluation,136296
Male-65 years and older,14713
Male-55-64 years,9611
Male-45-54 years,8594
Male-20-44 years,25415
Male-Less than 20 years,7905
Female-65 years and older,17236
Female-55-64 years,10294
Female-45-54 years,9471
Female-20-44 years,24160
Female-Less than 20 years,8445
"Black or African American, non-Hispanic",681
"American Indian or Alaska Native, non-Hispanic",1036
"Asian or Pacific Islander, non-Hispanic",1041
Other Race,14978
"White, non-Hispanic",27834
Unknown,30300
Hispanic or Latino,60426
