Category,Yavapai
Total_doses_administered,199540
Total_people_one_dose,108916
Total_people_complete,92207
total_pouluation,108916
Male-65 years and older,23939
Male-55-64 years,8701
Male-45-54 years,4750
Male-20-44 years,9451
Male-Less than 20 years,2217
Female-65 years and older,29847
Female-55-64 years,11092
Female-45-54 years,5646
Female-20-44 years,9602
Female-Less than 20 years,2523
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1221
"Asian or Pacific Islander, non-Hispanic",1231
Hispanic or Latino,7195
Other Race,17033
Unknown,24941
"White, non-Hispanic",56812
