Category,Cochise
Total_doses_administered,129628
Total_people_one_dose,70823
Total_people_complete,62165
total_pouluation,70823
Male-65 years and older,10385
Male-55-64 years,5041
Male-45-54 years,3879
Male-20-44 years,10529
Male-Less than 20 years,3343
Female-65 years and older,12407
Female-55-64 years,6151
Female-45-54 years,4405
Female-20-44 years,11086
Female-Less than 20 years,3503
"American Indian or Alaska Native, non-Hispanic",306
"Asian or Pacific Islander, non-Hispanic",1327
"Black or African American, non-Hispanic",1354
Unknown,9443
Other Race,11473
Hispanic or Latino,17657
"White, non-Hispanic",29263
