Category,Apache
Total_doses_administered,37235
Total_people_one_dose,20781
Total_people_complete,12904
total_pouluation,20781
Male-65 years and older,2193
Male-55-64 years,1485
Male-45-54 years,1142
Male-20-44 years,2696
Male-Less than 20 years,2687
Female-65 years and older,2560
Female-55-64 years,1583
Female-45-54 years,1139
Female-20-44 years,2526
Female-Less than 20 years,2762
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",109
Hispanic or Latino,476
Other Race,1237
Unknown,1387
"White, non-Hispanic",3207
"American Indian or Alaska Native, non-Hispanic",14318
