Category,La Paz
Total_doses_administered,14965
Total_people_one_dose,8074
Total_people_complete,7072
total_pouluation,8074
Male-65 years and older,2235
Male-55-64 years,579
Male-45-54 years,301
Male-20-44 years,597
Male-Less than 20 years,243
Female-65 years and older,2285
Female-55-64 years,680
Female-45-54 years,354
Female-20-44 years,537
Female-Less than 20 years,247
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",359
Hispanic or Latino,1163
Other Race,1173
Unknown,1862
"White, non-Hispanic",3400
