Category,Mohave
Total_doses_administered,152714
Total_people_one_dose,83344
Total_people_complete,70360
total_pouluation,83344
Male-65 years and older,19189
Male-55-64 years,7746
Male-45-54 years,3997
Male-20-44 years,6878
Male-Less than 20 years,1441
Female-65 years and older,21687
Female-55-64 years,9117
Female-45-54 years,4524
Female-20-44 years,6971
Female-Less than 20 years,1621
"Black or African American, non-Hispanic",517
"American Indian or Alaska Native, non-Hispanic",613
"Asian or Pacific Islander, non-Hispanic",1185
Hispanic or Latino,6406
Unknown,13058
Other Race,14971
"White, non-Hispanic",46594
