Category,Arizona
Total_doses_administered,8090699
Total_people_complete,359980
total_pouluation,7189020
Total_people_one_dose,4221477
Male-65 years and older,527756
Male-55-64 years,309594
Male-45-54 years,278899
Male-20-44 years,683099
Male-Less than 20 years,187743
Female-65 years and older,648389
Female-55-64 years,353684
Female-45-54 years,301972
Female-20-44 years,714628
Female-Less than 20 years,196190
"Black or African American, non-Hispanic",119804
"Asian or Pacific Islander, non-Hispanic",153424
"American Indian or Alaska Native, non-Hispanic",158715
Unknown,463393
Other Race,681437
Hispanic or Latino,746933
"White, non-Hispanic",1897771
