Category,Coconino
Total_doses_administered,187063
Total_people_one_dose,91435
Total_people_complete,80512
total_pouluation,91435
Male-65 years and older,9206
Male-55-64 years,6188
Male-45-54 years,5668
Male-20-44 years,16690
Male-Less than 20 years,5463
Female-65 years and older,10395
Female-55-64 years,7016
Female-45-54 years,5773
Female-20-44 years,19014
Female-Less than 20 years,5760
"Black or African American, non-Hispanic",751
"Asian or Pacific Islander, non-Hispanic",1526
Hispanic or Latino,6788
Other Race,8405
Unknown,12938
"American Indian or Alaska Native, non-Hispanic",21586
"White, non-Hispanic",39441
