Category,Greenlee
Total_doses_administered,8478
Total_people_one_dose,4167
Total_people_complete,3672
total_pouluation,4167
Male-65 years and older,504
Male-55-64 years,369
Male-45-54 years,320
Male-20-44 years,764
Male-Less than 20 years,167
Female-65 years and older,506
Female-55-64 years,316
Female-45-54 years,319
Female-20-44 years,734
Female-Less than 20 years,166
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,291
"White, non-Hispanic",1726
Hispanic or Latino,1870
