Category,Apache
Total_doses_administered,44282
Total_people_one_dose,24433
Total_people_complete,17182
total_pouluation,24433
Male-65 years and older,2448
Male-55-64 years,1689
Male-45-54 years,1303
Male-20-44 years,3030
Male-Less than 20 years,3467
Female-65 years and older,2897
Female-55-64 years,1835
Female-45-54 years,1319
Female-20-44 years,2879
Female-Less than 20 years,3558
"Black or African American, non-Hispanic",49
"Asian or Pacific Islander, non-Hispanic",112
Hispanic or Latino,523
Other Race,1040
Unknown,1084
"White, non-Hispanic",3511
"American Indian or Alaska Native, non-Hispanic",18114
