Category,La Paz
Total_doses_administered,16607
Total_people_one_dose,8481
Total_people_complete,7380
total_pouluation,8481
Male-65 years and older,2315
Male-55-64 years,591
Male-45-54 years,314
Male-20-44 years,645
Male-Less than 20 years,298
Female-65 years and older,2351
Female-55-64 years,705
Female-45-54 years,362
Female-20-44 years,573
Female-Less than 20 years,310
"Black or African American, non-Hispanic",37
"Asian or Pacific Islander, non-Hispanic",87
"American Indian or Alaska Native, non-Hispanic",460
Other Race,1123
Hispanic or Latino,1249
Unknown,1751
"White, non-Hispanic",3774
