Category,Cochise
Total_doses_administered,147379
Total_people_one_dose,76337
Total_people_complete,65133
total_pouluation,76337
Male-65 years and older,10840
Male-55-64 years,5277
Male-45-54 years,4118
Male-20-44 years,11122
Male-Less than 20 years,4559
Female-65 years and older,12814
Female-55-64 years,6323
Female-45-54 years,4643
Female-20-44 years,11716
Female-Less than 20 years,4826
"American Indian or Alaska Native, non-Hispanic",338
"Asian or Pacific Islander, non-Hispanic",1405
"Black or African American, non-Hispanic",1501
Unknown,8886
Other Race,11511
Hispanic or Latino,20572
"White, non-Hispanic",32124
