Category,Yavapai
Total_doses_administered,227031
Total_people_one_dose,113781
Total_people_complete,96624
total_pouluation,113781
Male-65 years and older,25182
Male-55-64 years,8938
Male-45-54 years,4895
Male-20-44 years,9865
Male-Less than 20 years,2645
Female-65 years and older,30928
Female-55-64 years,11342
Female-45-54 years,5842
Female-20-44 years,10071
Female-Less than 20 years,2925
"Black or African American, non-Hispanic",523
"Asian or Pacific Islander, non-Hispanic",1352
"American Indian or Alaska Native, non-Hispanic",1375
Hispanic or Latino,7703
Other Race,16740
Unknown,19514
"White, non-Hispanic",66574
