Category,Maricopa
Total_doses_administered,5181383
Total_people_one_dose,2560838
Total_people_complete,2267115
total_pouluation,2560838
Male-65 years and older,279979
Male-55-64 years,184593
Male-45-54 years,178872
Male-20-44 years,425962
Male-Less than 20 years,132115
Female-65 years and older,350275
Female-55-64 years,208059
Female-45-54 years,194334
Female-20-44 years,456530
Female-Less than 20 years,135685
"American Indian or Alaska Native, non-Hispanic",49462
"Black or African American, non-Hispanic",98136
"Asian or Pacific Islander, non-Hispanic",128261
Unknown,170032
Other Race,418743
Hispanic or Latino,422264
"White, non-Hispanic",1273940
