Category,Navajo
Total_doses_administered,90639
Total_people_one_dose,46406
Total_people_complete,38974
total_pouluation,46406
Male-65 years and older,7106
Male-55-64 years,3456
Male-45-54 years,2564
Male-20-44 years,5506
Male-Less than 20 years,3877
Female-65 years and older,7983
Female-55-64 years,3975
Female-45-54 years,2576
Female-20-44 years,5356
Female-Less than 20 years,3972
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",338
Unknown,2127
Hispanic or Latino,2356
Other Race,6120
"White, non-Hispanic",15606
"American Indian or Alaska Native, non-Hispanic",19666
