Category,Graham
Total_doses_administered,40556
Total_people_one_dose,20335
Total_people_complete,18172
total_pouluation,20335
Male-65 years and older,2358
Male-55-64 years,1556
Male-45-54 years,1413
Male-20-44 years,3489
Male-Less than 20 years,999
Female-65 years and older,2850
Female-55-64 years,1698
Female-45-54 years,1375
Female-20-44 years,3490
Female-Less than 20 years,1095
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",88
Other Race,1272
Hispanic or Latino,3595
Unknown,3979
"American Indian or Alaska Native, non-Hispanic",5046
"White, non-Hispanic",6275
