Category,Arizona
Total_doses_administered,8881072
Total_people_complete,418490
total_pouluation,7189020
Total_people_one_dose,4452194
Male-65 years and older,549589
Male-55-64 years,319254
Male-45-54 years,288442
Male-20-44 years,712869
Male-Less than 20 years,231572
Female-65 years and older,670839
Female-55-64 years,364043
Female-45-54 years,311541
Female-20-44 years,744995
Female-Less than 20 years,239327
"Black or African American, non-Hispanic",133846
"Asian or Pacific Islander, non-Hispanic",168783
"American Indian or Alaska Native, non-Hispanic",182449
Unknown,407789
Other Race,646999
Hispanic or Latino,810072
"White, non-Hispanic",2102256
