Category,Graham
Total_doses_administered,24043
Total_people_one_dose,13370
Total_people_complete,11928
Total_doses_ordered,21720
total_pouluation,38476
Male-65 years and older,1728
Male-55-64 years,1051
Male-45-54 years,962
Male-20-44 years,2303
Male-Less than 20 years,504
Female-65 years and older,2185
Female-55-64 years,1211
Female-45-54 years,881
Female-20-44 years,1945
Female-Less than 20 years,588
"Asian or Pacific Islander, non-Hispanic",69
"Black or African American, non-Hispanic",79
Other Race,1011
"American Indian or Alaska Native, non-Hispanic",1127
Hispanic or Latino,2216
Unknown,4213
"White, non-Hispanic",4655
