Category,Apache
Total_doses_administered,35425
Total_people_one_dose,19836
Total_people_complete,13248
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2054
Male-55-64 years,1388
Male-45-54 years,1096
Male-20-44 years,2703
Male-Less than 20 years,2610
Female-65 years and older,2200
Female-55-64 years,1510
Female-45-54 years,1097
Female-20-44 years,2505
Female-Less than 20 years,2663
"Asian or Pacific Islander, non-Hispanic",175
"Black or African American, non-Hispanic",301
Unknown,1081
Other Race,1329
Hispanic or Latino,1996
"White, non-Hispanic",3451
"American Indian or Alaska Native, non-Hispanic",11503
