Category,Yavapai
Total_doses_administered,199772
Total_people_one_dose,113925
Total_people_complete,96085
Total_doses_ordered,174846
total_pouluation,232386
Male-65 years and older,24694
Male-55-64 years,8823
Male-45-54 years,5236
Male-20-44 years,10392
Male-Less than 20 years,2254
Female-65 years and older,30779
Female-55-64 years,11246
Female-45-54 years,6102
Female-20-44 years,10573
Female-Less than 20 years,2512
"Black or African American, non-Hispanic",640
"American Indian or Alaska Native, non-Hispanic",1187
"Asian or Pacific Islander, non-Hispanic",1494
Hispanic or Latino,7402
Other Race,17537
Unknown,27862
"White, non-Hispanic",57803
