Category,Cochise
Total_doses_administered,127796
Total_people_one_dose,71262
Total_people_complete,62806
Total_doses_ordered,94300
total_pouluation,130808
Male-65 years and older,11013
Male-55-64 years,5324
Male-45-54 years,3961
Male-20-44 years,10446
Male-Less than 20 years,2990
Female-65 years and older,13037
Female-55-64 years,6424
Female-45-54 years,4535
Female-20-44 years,10404
Female-Less than 20 years,3036
"American Indian or Alaska Native, non-Hispanic",343
"Asian or Pacific Islander, non-Hispanic",1345
"Black or African American, non-Hispanic",1362
Unknown,9603
Other Race,10796
Hispanic or Latino,17442
"White, non-Hispanic",30371
