Category,Arizona
Total_doses_administered,7739723
Total_people_complete,3718036
Total_doses_ordered,5410140
total_pouluation,7189020
Total_people_one_dose,4201179
Male-65 years and older,544964
Male-55-64 years,309782
Male-45-54 years,274912
Male-20-44 years,663913
Male-Less than 20 years,178279
Female-65 years and older,669276
Female-55-64 years,355885
Female-45-54 years,299682
Female-20-44 years,698376
Female-Less than 20 years,186362
"Black or African American, non-Hispanic",117402
"American Indian or Alaska Native, non-Hispanic",126702
"Asian or Pacific Islander, non-Hispanic",154946
Unknown,448106
Other Race,701203
Hispanic or Latino,725973
"White, non-Hispanic",1926847
