Category,Gila
Total_doses_administered,56348
Total_people_one_dose,30553
Total_people_complete,27233
Total_doses_ordered,38260
total_pouluation,55159
Male-65 years and older,6043
Male-55-64 years,2701
Male-45-54 years,1701
Male-20-44 years,3422
Male-Less than 20 years,865
Female-65 years and older,6393
Female-55-64 years,3014
Female-45-54 years,1791
Female-20-44 years,3572
Female-Less than 20 years,988
"Black or African American, non-Hispanic",101
"Asian or Pacific Islander, non-Hispanic",264
Hispanic or Latino,1424
Other Race,5042
Unknown,5576
"American Indian or Alaska Native, non-Hispanic",6279
"White, non-Hispanic",11867
