Category,Coconino
Total_doses_administered,158278
Total_people_one_dose,86714
Total_people_complete,77700
Total_doses_ordered,109804
total_pouluation,147275
Male-65 years and older,8184
Male-55-64 years,6226
Male-45-54 years,5641
Male-20-44 years,17291
Male-Less than 20 years,3451
Female-65 years and older,9277
Female-55-64 years,6920
Female-45-54 years,5772
Female-20-44 years,19757
Female-Less than 20 years,4100
"Black or African American, non-Hispanic",653
"Asian or Pacific Islander, non-Hispanic",1314
Hispanic or Latino,6397
Other Race,9953
Unknown,17206
"American Indian or Alaska Native, non-Hispanic",18145
"White, non-Hispanic",33046
