,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5163900,1485243,16103,87113,122811,44563,16444,7942,15080,1901487,112605,43984,697411,215994,46237,157713,144693
Total_people_one_dose,2982692,824728,9200,51530,67692,24866,9440,4531,8531,1150680,67789,26011,405431,128881,27245,91951,84186
Total_people_complete,2368154,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,580214,,,,,,,,,,,,,,,,
55-64 years,293728,,,,,,,,,,,,,,,,
45-54 years,219352,,,,,,,,,,,,,,,,
20-44 years,462754,,,,,,,,,,,,,,,,
Less than 20 years,52773,,,,,,,,,,,,,,,,
65 years and older,405431,,,,,,,,,,,,,,,,
55-64 years,245542,,,,,,,,,,,,,,,,
45-54 years,191242,,,,,,,,,,,,,,,,
20-44 years,415391,,,,,,,,,,,,,,,,
Less than 20 years,45547,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",67463,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",71712,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",110102,,,,,,,,,,,,,,,,
Hispanic or Latino,387394,,,,,,,,,,,,,,,,
Unknown,407262,,,,,,,,,,,,,,,,
Other Race,507655,,,,,,,,,,,,,,,,
"White, non-Hispanic",1431104,,,,,,,,,,,,,,,,
