Category,Greenlee
Total_doses_administered,7942
Total_people_one_dose,4531
Total_people_complete,3893
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,522
Male-55-64 years,569
Male-45-54 years,463
Male-20-44 years,928
Male-Less than 20 years,40
Female-65 years and older,508
Female-55-64 years,403
Female-45-54 years,361
Female-20-44 years,697
Female-Less than 20 years,38
"Black or African American, non-Hispanic",0.0092694769366586
"Asian or Pacific Islander, non-Hispanic",0.0099315824321342
"American Indian or Alaska Native, non-Hispanic",0.0161112337232399
Other Race,0.0178768483778415
Unknown,0.0955638931803134
"White, non-Hispanic",0.4102847053630545
Hispanic or Latino,0.4409622599867579
