Category,Cochise
Total_doses_administered,114227
Total_people_one_dose,63968
Total_people_complete,56915
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10432
Male-55-64 years,5035
Male-45-54 years,3553
Male-20-44 years,8977
Male-Less than 20 years,2118
Female-65 years and older,12374
Female-55-64 years,6033
Female-45-54 years,4139
Female-20-44 years,8998
Female-Less than 20 years,2220
"American Indian or Alaska Native, non-Hispanic",308
"Black or African American, non-Hispanic",1183
"Asian or Pacific Islander, non-Hispanic",1250
Unknown,8358
Other Race,9919
Hispanic or Latino,15003
"White, non-Hispanic",27947
