Category,Mohave
Total_doses_administered,147359
Total_people_one_dose,84119
Total_people_complete,70676
Total_doses_ordered,124750
total_pouluation,216985
Male-65 years and older,20862
Male-55-64 years,7959
Male-45-54 years,3957
Male-20-44 years,6434
Male-Less than 20 years,933
Female-65 years and older,23261
Female-55-64 years,9350
Female-45-54 years,4192
Female-20-44 years,5939
Female-Less than 20 years,1083
"Black or African American, non-Hispanic",565
"American Indian or Alaska Native, non-Hispanic",834
"Asian or Pacific Islander, non-Hispanic",1215
Hispanic or Latino,5544
Unknown,14421
Other Race,15319
"White, non-Hispanic",46221
