Category,Arizona
Total_doses_administered,6766728
Total_people_complete,3321552
Total_doses_ordered,5222530
total_pouluation,7189020
Total_people_one_dose,3707702
Male-65 years and older,505558
Male-55-64 years,286106
Male-45-54 years,242650
Male-20-44 years,560499
Male-Less than 20 years,131481
Female-65 years and older,624130
Female-55-64 years,331742
Female-45-54 years,268444
Female-20-44 years,596249
Female-Less than 20 years,141557
"Black or African American, non-Hispanic",98121
"American Indian or Alaska Native, non-Hispanic",100178
"Asian or Pacific Islander, non-Hispanic",143214
Unknown,402344
Hispanic or Latino,588199
Other Race,636499
"White, non-Hispanic",1739147
