Category,Navajo
Total_doses_administered,62174
Total_people_one_dose,34720
Total_people_complete,30381
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6140
Male-55-64 years,2802
Male-45-54 years,1922
Male-20-44 years,3893
Male-Less than 20 years,2469
Female-65 years and older,6609
Female-55-64 years,3094
Female-45-54 years,1959
Female-20-44 years,3227
Female-Less than 20 years,2573
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",354
Unknown,1832
Hispanic or Latino,1963
Other Race,7543
"American Indian or Alaska Native, non-Hispanic",9529
"White, non-Hispanic",13304
