Category,Yavapai
Total_doses_administered,182376
Total_people_one_dose,103882
Total_people_complete,88259
Total_doses_ordered,165060
total_pouluation,232386
Male-65 years and older,23428
Male-55-64 years,8144
Male-45-54 years,4589
Male-20-44 years,8806
Male-Less than 20 years,1664
Female-65 years and older,29214
Female-55-64 years,10497
Female-45-54 years,5390
Female-20-44 years,8973
Female-Less than 20 years,1867
"Black or African American, non-Hispanic",500
"American Indian or Alaska Native, non-Hispanic",1026
"Asian or Pacific Islander, non-Hispanic",1345
Hispanic or Latino,6100
Other Race,16045
Unknown,26572
"White, non-Hispanic",52294
