Category,Yuma
Total_doses_administered,197469
Total_people_one_dose,111073
Total_people_complete,96207
Total_doses_ordered,139268
total_pouluation,229957
Male-65 years and older,15580
Male-55-64 years,8440
Male-45-54 years,7302
Male-20-44 years,20526
Male-Less than 20 years,3544
Female-65 years and older,17669
Female-55-64 years,8956
Female-45-54 years,7540
Female-20-44 years,17329
Female-Less than 20 years,3867
"Black or African American, non-Hispanic",604
"Asian or Pacific Islander, non-Hispanic",667
"American Indian or Alaska Native, non-Hispanic",1443
Other Race,9971
"White, non-Hispanic",20260
Unknown,32425
Hispanic or Latino,45703
