Category,Maricopa
Total_doses_administered,2808389
Total_people_one_dose,1587387
Total_people_complete,1401156
Total_doses_ordered,1535817
total_pouluation,4367835
Male-65 years and older,174567
Male-55-64 years,119755
Male-45-54 years,115147
Male-20-44 years,258780
Male-Less than 20 years,61987
Female-65 years and older,226962
Female-55-64 years,139354
Female-45-54 years,129316
Female-20-44 years,284075
Female-Less than 20 years,65711
"American Indian or Alaska Native, non-Hispanic",34194
"Black or African American, non-Hispanic",59444
"Asian or Pacific Islander, non-Hispanic",76851
Unknown,155674
Other Race,246595
Hispanic or Latino,271080
"White, non-Hispanic",743549
