Category,Graham
Total_doses_administered,20009
Total_people_one_dose,10966
Total_people_complete,10059
Total_doses_ordered,18520
total_pouluation,38476
Male-65 years and older,1607
Male-55-64 years,947
Male-45-54 years,801
Male-20-44 years,1870
Male-Less than 20 years,233
Female-65 years and older,2022
Female-55-64 years,1069
Female-45-54 years,717
Female-20-44 years,1419
Female-Less than 20 years,270
"Asian or Pacific Islander, non-Hispanic",57
"Black or African American, non-Hispanic",66
Other Race,864
"American Indian or Alaska Native, non-Hispanic",899
Hispanic or Latino,1790
Unknown,3594
"White, non-Hispanic",3696
