Category,Apache
Total_doses_administered,23017
Total_people_one_dose,12892
Total_people_complete,11179
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1695
Male-55-64 years,894
Male-45-54 years,582
Male-20-44 years,1074
Male-Less than 20 years,2079
Female-65 years and older,1736
Female-55-64 years,1013
Female-45-54 years,631
Female-20-44 years,998
Female-Less than 20 years,2181
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",231
Unknown,943
Other Race,947
Hispanic or Latino,1500
"White, non-Hispanic",2946
"American Indian or Alaska Native, non-Hispanic",6178
