Category,Pinal
Total_doses_administered,294028
Total_people_one_dose,166466
Total_people_complete,149672
Total_doses_ordered,196665
total_pouluation,455210
Male-65 years and older,29267
Male-55-64 years,13093
Male-45-54 years,11739
Male-20-44 years,25738
Male-Less than 20 years,4299
Female-65 years and older,33607
Female-55-64 years,14074
Female-45-54 years,10575
Female-20-44 years,18999
Female-Less than 20 years,4484
"Asian or Pacific Islander, non-Hispanic",3064
"Black or African American, non-Hispanic",4485
"American Indian or Alaska Native, non-Hispanic",7934
Other Race,17840
Hispanic or Latino,25319
Unknown,34004
"White, non-Hispanic",73820
