Category,Coconino
Total_doses_administered,144820
Total_people_one_dose,78864
Total_people_complete,71925
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7500
Male-55-64 years,5846
Male-45-54 years,5180
Male-20-44 years,15557
Male-Less than 20 years,2626
Female-65 years and older,8585
Female-55-64 years,6594
Female-45-54 years,5403
Female-20-44 years,18099
Female-Less than 20 years,3399
"Black or African American, non-Hispanic",554
"Asian or Pacific Islander, non-Hispanic",1169
Hispanic or Latino,5266
Other Race,9189
"American Indian or Alaska Native, non-Hispanic",16250
Unknown,16552
"White, non-Hispanic",29884
