Category,Gila
Total_doses_administered,49930
Total_people_one_dose,27642
Total_people_complete,24885
Total_doses_ordered,36470
total_pouluation,55159
Male-65 years and older,5747
Male-55-64 years,2539
Male-45-54 years,1527
Male-20-44 years,2931
Male-Less than 20 years,544
Female-65 years and older,6099
Female-55-64 years,2854
Female-45-54 years,1643
Female-20-44 years,3050
Female-Less than 20 years,648
"Black or African American, non-Hispanic",92
"Asian or Pacific Islander, non-Hispanic",250
Hispanic or Latino,1213
Other Race,4676
Unknown,5220
"American Indian or Alaska Native, non-Hispanic",5271
"White, non-Hispanic",10920
