Category,Cochise
Total_doses_administered,116675
Total_people_one_dose,65608
Total_people_complete,57763
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10549
Male-55-64 years,5092
Male-45-54 years,3654
Male-20-44 years,9322
Male-Less than 20 years,2345
Female-65 years and older,12494
Female-55-64 years,6111
Female-45-54 years,4216
Female-20-44 years,9290
Female-Less than 20 years,2444
"American Indian or Alaska Native, non-Hispanic",313
"Black or African American, non-Hispanic",1218
"Asian or Pacific Islander, non-Hispanic",1272
Unknown,8712
Other Race,10058
Hispanic or Latino,15622
"White, non-Hispanic",28413
