Category,Navajo
Total_doses_administered,62802
Total_people_one_dose,35527
Total_people_complete,30710
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6238
Male-55-64 years,2851
Male-45-54 years,1973
Male-20-44 years,3983
Male-Less than 20 years,2572
Female-65 years and older,6704
Female-55-64 years,3147
Female-45-54 years,2022
Female-20-44 years,3327
Female-Less than 20 years,2678
"Black or African American, non-Hispanic",205
"Asian or Pacific Islander, non-Hispanic",368
Unknown,1897
Hispanic or Latino,2052
Other Race,7683
"American Indian or Alaska Native, non-Hispanic",9676
"White, non-Hispanic",13646
